id	pronunciation	character	tone	rhymeCategory	meanings
184	후	休	去	遇	슬퍼하다;덥게 하다;따뜻하게 하다
185	가	伽	平	麻	절(寺)
186	거	?	平	魚	나라 이름
187	가	?	平	歌	사람 이름;나라 이름;신(神) 이름;부처 이름
188	고	?	上	?	값;대금;매매하다;흥정하다;상인;장사꾼;낡다;헐다
189	구	?	去	宥	꼽추;곱사등이;어리석다;우매하다;약하다
190	구	?	上	?	거리끼다
191	녕	?	去	徑	아첨하다;간사하다;재능;영리함;바르지 못하다;변재(辯才);구재(口才);위선
192	니	?	上	紙	너(爾)
193	단	但	上/去	旱/翰	다만;혼자;홀로;한결같이;오로지;무릇;부질없이;헛되이;속이다
194	령	伶	平	靑	영리하다;똑똑하다;사령(使令);사환(使喚);외로움;홀로 가는 모양;음악사;배우
195	반	伴	上/去	旱/翰	짝;동무;동아리;따르다;모시다;한가한 모양;느긋한 모양;광대한 모양
196	백	伯	入	陌	맏;맏아들;우두머리;지방의 장관;일가를 이룬 사람;작위;남편
197	맥	伯	入	陌	길
198	패	伯	去	?	우두머리;제후의 맹주
199	분	?	上	阮	용렬하다;거칠다;상여꾼
200	체	?	上	薺	몸
201	불	佛	入	物	부처;불타;석가모니;불교;정직하고 어진 사람;비슷하다;어기다;거스르다;침울한 모양;불안한 모양;크다;프랑스
202	필	佛	入	質	돕다
203	발	佛	入	月	일다;흥기하는 모양
204	비	?	平	支	힘세다;힘 있는 모양;여럿이 떼 지은 모양;산 이름
205	사	似	上	紙	같다;같게 하다;닮다;비슷하다;흉내내다;잇다;계승하다;바치다;드리다;손위 동서
206	사	伺	去/平	?/支	엿보다;헤아리다;노리다;찾다;방문하다
207	소	?	平	蕭	소목
208	소	?	上	篠	소개하다;돕다
209	신	伸	平	眞	펴다;늘리다;발전하다;풀다;마음에 맺힌 것을 없애다;기지개를 켜다;진술하여 말하다;사뢰다
210	앙	?	平/上	陽/養	새가슴;몸이 펴이지 않는 모양;즐기다
211	여	余	平	魚	나;자신;음력 4월;나머지
212	우	佑	去/上	宥/有	돕다;신령이 비호하다;우대하다
213	위	位	去	?	자리;임금의 지위;관직의 등급;차례;순서;자리하다;위치하다;품위;품격;수(數)의 경칭;세우다
214	일	佚	入	質	편안하다;편히 즐기다;숨다;달아나다;없어지다;실수;잘못;과실;아름답다;요염하다
215	질	佚	入	屑	방탕하다;들뜨다;대범하다;느슨하다;서로;번갈아
216	작	作	入	藥	짓다;만들다;시문을 짓다;창작하다;일어나다;잠에서 깨다;일어서다;나타나다;일으키다;서다;세우다;일하다;농사짓다;긁어 벗기다;이루다;성취하다;변하다;바뀌다;작용;일;공사;비로소;시키다
217	주	作	去	箇	만들다
218	저	作	去	御	저주하다
219	저	佇	上	語	우두커니;오래다;기다리다;바라다;쌓다;저축하다
220	저	低	平	齊	낮다;약하다;숙이다;구부리다;머무르다
221	전	佃	平	先	밭을 갈다;소작인;사냥하다;개간한 밭
222	점	?	平	鹽	보다;엿보다;속삭이다;차지하다
223	정	?	平	庚	황급하다;황급한 모양
